date,open,high,low,close,volume
2010-01-04,9.0782279500,9.1693646500,8.9415229000,8.9668386500,74613558
2010-01-05,8.9668386500,9.1136700000,8.7795021000,8.9769649500,91401373
2010-01-06,8.9567123500,8.9567123500,8.7643126500,8.7896284000,77427706
2010-01-07,8.7744389500,8.8250704500,8.4959657000,8.5617866500,101943196
2010-01-08,8.5465972000,8.5972287000,8.4453342000,8.5617866500,80359862
2010-01-11,9.0529122000,9.0681016500,8.5060920000,8.5769761000,146569250
2010-01-12,8.5465972000,8.6934285500,8.3288817500,8.6427970500,112189832
2010-01-13,8.3643238000,8.4554605000,8.0858505500,8.1769872500,205223276
2010-01-14,8.2023030000,8.2782502500,8.0757242500,8.2681239500,124717572
2010-01-15,8.2377450500,8.3339449000,8.1162294500,8.2579976500,87302199
2010-01-18,8.1516715000,8.2478713500,8.0959768500,8.1921767000,96022634
2010-01-19,8.2124293000,8.3035660000,8.1820504000,8.2276187500,98444269
2010-01-20,8.2478713500,8.2579976500,8.0099033000,8.0301559000,107880628
2010-01-21,8.0402822000,8.2529345000,7.9997770000,8.1769872500,91285813
2010-01-22,8.1010400000,8.5314077500,8.0757242500,8.4402710500,194447102
2010-01-25,8.2985028500,8.5010288500,8.1769872500,8.2174924500,95604860
2010-01-26,8.2174924500,8.2833134000,8.0504085000,8.1466083500,97364890
2010-01-27,8.1567346500,8.1871135500,7.7972510000,7.8175036000,141106541
2010-01-28,7.8124404500,7.8124404500,7.5845987000,7.6605459500,111465663
2010-01-29,7.5947250000,7.8478825000,7.5643461000,7.6807985500,92338067
2010-02-01,7.6909248500,7.8073773000,7.5238409000,7.7415563500,87195690
2010-02-02,7.7972510000,8.0402822000,7.7516826500,7.9137034500,112323804
2010-02-03,7.9288929000,8.1466083500,7.7921878500,8.0959768500,98754882
2010-02-04,7.9997770000,8.1263557500,7.9795244000,8.0250927500,50717779
2010-02-05,7.8985140000,7.9693981000,7.7415563500,7.8377562000,55600840
2010-02-08,7.8377562000,7.8985140000,7.6352302000,7.6605459500,53513964
2010-02-09,7.6706722500,7.7921878500,7.6504196500,7.7516826500,42953660
2010-02-10,7.8073773000,7.8985140000,7.7719352500,7.8630719500,42895905
2010-02-11,7.8883877000,7.9542086500,7.8428193500,7.8782614000,38843244
2010-02-12,7.9288929000,8.0048401500,7.9035771500,7.9896507000,39007663
2010-02-22,7.9491455000,8.0757242500,7.8630719500,7.9643349500,37512236
2010-02-23,7.9440823500,7.9440823500,7.7010511500,7.8276299000,47983122
2010-02-24,7.7314300500,7.8782614000,7.6959880000,7.8731982500,40697391
2010-02-25,7.8731982500,8.1263557500,7.8630719500,8.0301559000,70446388
2010-02-26,7.9997770000,8.1162294500,7.9542086500,8.0504085000,49214521
2010-03-01,8.0757242500,8.2782502500,8.0504085000,8.2529345000,81300926
2010-03-02,8.3035660000,8.3795132500,8.2529345000,8.3339449000,109780837
2010-03-03,8.3339449000,8.3541975000,8.2276187500,8.3491343500,70933393
2010-03-04,8.3541975000,8.3845764000,8.1061031500,8.1617978000,85453648
2010-03-05,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-08,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-09,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-10,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-11,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-12,8.1617978000,8.1617978000,8.1617978000,8.1617978000,0
2010-03-15,8.1778211900,8.2152116200,7.9054052000,7.9534786100,65556181
