date,open,high,low,close,volume
2010-01-04,22.4937618000,22.6352320000,22.1825273600,22.2461889500,26409039
2010-01-05,22.2674094800,22.5998644500,22.2674094800,22.4796147800,29098216
2010-01-06,22.4796147800,22.6210849800,21.8571459000,21.8854399400,42822040
2010-01-07,21.7722637800,21.7722637800,20.8597809900,21.2205300000,61705156
2010-01-08,21.1144273500,21.1922359600,20.5768405900,21.1780889400,36477184
2010-01-11,21.3620002000,21.6095730500,20.8173399300,20.9800306600,27831764
2010-01-12,20.9729571500,21.6307935800,20.8668545000,21.5812790100,29138111
2010-01-13,21.2205300000,21.9632485500,21.0790598000,21.4115147700,36716285
2010-01-14,21.4963968900,22.4654677600,21.3620002000,22.2391154400,45444965
2010-01-15,22.6069379600,22.7767022000,22.1259392800,22.3239975600,45035983
2010-01-18,22.4230267000,22.8828048500,22.1400863000,22.7059671000,39365350
2010-01-19,22.7767022000,22.8332902800,22.3452180900,22.4159531900,22988172
2010-01-20,22.4230267000,22.4230267000,21.4115147700,21.5388379500,36951698
2010-01-21,21.5388379500,21.7015286800,21.0719862900,21.4681028500,32381967
2010-01-22,21.1710154300,21.2346770200,20.6405021800,20.9446631100,28044582
2010-01-25,20.8951485400,21.4822498700,20.7395313200,21.2205300000,22525325
2010-01-26,21.3620002000,21.4751763600,20.6405021800,20.9234425800,21577455
2010-01-27,20.9800306600,21.0932068200,20.0887684000,20.2019445600,28371392
2010-01-28,20.0816948900,20.5909876100,19.7704604500,20.3787823100,23340063
2010-01-29,20.3363412500,21.0790598000,20.2019445600,20.6475756900,18171082
2010-02-01,21.0012511900,21.2558975500,20.6546492000,21.0436922500,28965737
2010-02-02,21.1285743700,21.1851624500,20.4565909200,20.4778114500,20973884
2010-02-03,20.4778114500,20.6970902600,20.0675478700,20.5697670800,22836489
2010-02-04,20.5909876100,20.9234425800,20.4990319800,20.7324578100,16474441
2010-02-05,20.4424439000,20.4990319800,20.2656061500,20.4141498600,15356624
2010-02-08,20.3080472100,20.6475756900,20.3080472100,20.4636644300,9467542
2010-02-09,20.4353703900,20.6475756900,20.2160915800,20.3787823100,10682228
2010-02-10,20.5485465500,20.6192816500,20.3363412500,20.5697670800,8606368
2010-02-11,20.5839141000,21.0578392700,20.5131790000,20.8597809900,13497506
2010-02-12,20.8880750300,21.0083247000,20.7183107900,20.8810015200,10662230
2010-02-22,20.8810015200,20.8810015200,20.3717088000,20.3858558200,13823275
2010-02-23,20.3221942300,20.3221942300,19.6077697200,19.8058280000,21525067
2010-02-24,19.7916809800,20.0887684000,19.6785048200,20.0109597900,13230701
2010-02-25,20.0392538300,20.2797531700,20.0180333000,20.2090180700,17287073
2010-02-26,20.2090180700,20.2868266800,19.7846074700,19.8341220400,18152526
2010-03-01,19.7846074700,20.1948710500,19.6572842900,20.0887684000,17797335
2010-03-02,20.2302386000,20.3080472100,19.8907101200,19.9968127700,17861264
2010-03-03,19.9968127700,20.2019445600,19.8058280000,20.0958419100,18973756
2010-03-04,20.1312094600,20.6334286700,19.8765631000,19.9472982000,28287395
2010-03-05,19.9614452200,20.2443856200,19.7987544900,20.0109597900,14490330
2010-03-08,20.0887684000,20.1595035000,19.9190041600,19.9472982000,11792089
2010-03-09,19.9543717100,20.0038862800,19.7209458800,19.8341220400,19998996
2010-03-10,19.8341220400,19.8341220400,19.4380054800,19.4592260100,24231417
2010-03-11,19.4592260100,19.7138723700,19.4380054800,19.4733730300,12093543
2010-03-12,19.4875200500,19.6926518400,19.2258001800,19.2540942200,13625141
2010-03-15,19.2258001800,19.2540942200,18.5891842800,18.6599193800,24361004
2010-03-16,18.7518750100,19.0277419000,18.7306544800,18.7943160700,13198107
2010-03-17,18.8296836200,19.3814174000,18.8296836200,19.3814174000,17055572
2010-03-18,19.4238584600,19.6572842900,19.2753147500,19.3177558100,12571964
2010-03-19,19.4238584600,19.8411955500,19.4238584600,19.8270485300,26065039
2010-03-22,19.8907101200,19.9543717100,19.6997253500,19.8411955500,16761106
2010-03-23,19.8482690600,20.0534008500,19.6997253500,19.8624160800,17462432
2010-03-24,19.9190041600,20.5343995300,19.8907101200,20.2868266800,30817299
2010-03-25,20.2939001900,20.4424439000,20.0109597900,20.0887684000,19383802
2010-03-26,20.0887684000,20.2231650900,19.9119306500,20.0887684000,12682492
2010-03-29,20.3080472100,20.5343995300,20.2939001900,20.4353703900,20677696
2010-03-30,20.4565909200,20.6617227100,20.2160915800,20.2302386000,16511085
2010-03-31,20.3009737000,20.4282968800,19.8058280000,19.9260776700,19223071
2010-04-01,19.9260776700,20.3646352900,19.8694895900,20.1665770100,19174029
2010-04-02,20.1453564800,20.3221942300,19.9331511800,20.0180333000,18331767
2010-04-06,20.0038862800,20.1312094600,19.7492399200,19.8341220400,25657042
2010-04-07,19.7704604500,20.0887684000,19.7421664100,20.0604743600,15970543
2010-04-08,20.0180333000,20.0180333000,19.5936227000,19.6360637600,22200681
2010-04-09,19.6502107800,19.8624160800,19.4521525000,19.8411955500,21223414
2010-04-12,19.8765631000,19.9260776700,19.4380054800,19.4662995200,25625034
2010-04-13,19.5582551500,19.9331511800,19.4733730300,19.7280193900,30785390
2010-04-14,19.7350929000,20.3575617800,19.6714313100,20.3504882700,42358648
2010-04-15,20.4070763500,20.9163690700,20.3292677400,20.5131790000,40717911
2010-04-16,20.5131790000,20.5131790000,20.5131790000,20.5131790000,0
2010-04-19,20.3009737000,20.4990319800,19.7280193900,19.7350929000,34567945
2010-04-20,19.7492399200,19.9614452200,19.4733730300,19.8411955500,26238613
2010-04-21,19.8553425700,20.8314869500,19.7350929000,20.6900167500,36984203
