position_size,asset,period,returns_pct,sharpe_ratio,max_drawdown_pct,total_trades,volatility
5,600519_贵州茅台,training,3.47,-0.419,1.34,14,unknown
5,600519_贵州茅台,testing,-0.69,0.0,0.79,2,unknown
5,000858_五粮液,training,0.51,-3.15,0.59,13,unknown
5,000858_五粮液,testing,-0.08,0.0,0.14,2,unknown
5,600036_招商银行,training,-0.01,-37.021,0.09,17,unknown
5,600036_招商银行,testing,-0.01,0.0,0.02,2,unknown
5,000725_京东方,training,0.0,-450.751,0.01,17,unknown
5,000725_京东方,testing,-0.0,0.0,0.0,1,unknown
5,000002_万科A,training,-0.06,-55.666,0.09,17,unknown
5,000002_万科A,testing,-0.01,0.0,0.01,2,unknown
10,600519_贵州茅台,training,5.2,-0.072,2.2,14,unknown
10,600519_贵州茅台,testing,-1.08,0.0,1.16,2,unknown
10,000858_五粮液,training,0.87,-1.536,1.21,13,unknown
10,000858_五粮液,testing,-0.16,0.0,0.27,2,unknown
10,600036_招商银行,training,-0.01,-18.535,0.17,17,unknown
10,600036_招商银行,testing,-0.02,0.0,0.03,2,unknown
10,000725_京东方,training,0.0,-225.284,0.02,17,unknown
10,000725_京东方,testing,-0.01,0.0,0.01,1,unknown
10,000002_万科A,training,-0.13,-28.129,0.18,17,unknown
10,000002_万科A,testing,-0.03,0.0,0.03,2,unknown
15,600519_贵州茅台,training,7.5,0.09,2.95,14,unknown
15,600519_贵州茅台,testing,-1.62,0.0,1.74,2,unknown
15,000858_五粮液,training,1.45,-0.925,1.66,13,unknown
15,000858_五粮液,testing,-0.23,0.0,0.41,2,unknown
15,600036_招商银行,training,-0.02,-12.373,0.26,17,unknown
15,600036_招商银行,testing,-0.04,0.0,0.05,2,unknown
15,000725_京东方,training,0.01,-150.128,0.03,17,unknown
15,000725_京东方,testing,-0.01,0.0,0.01,1,unknown
15,000002_万科A,training,-0.19,-18.95,0.27,17,unknown
15,000002_万科A,testing,-0.04,0.0,0.04,2,unknown
20,600519_贵州茅台,training,10.55,0.206,3.78,14,unknown
20,600519_贵州茅台,testing,-1.88,0.0,2.03,2,unknown
20,000858_五粮液,training,1.82,-0.587,2.37,13,unknown
20,000858_五粮液,testing,-0.25,0.0,0.48,2,unknown
20,600036_招商银行,training,-0.02,-9.292,0.35,17,unknown
20,600036_招商银行,testing,-0.05,0.0,0.07,2,unknown
20,000725_京东方,training,0.01,-112.551,0.03,17,unknown
20,000725_京东方,testing,-0.01,0.0,0.02,1,unknown
20,000002_万科A,training,-0.26,-14.361,0.36,17,unknown
20,000002_万科A,testing,-0.06,0.0,0.06,2,unknown
25,600519_贵州茅台,training,13.18,0.263,4.58,14,unknown
25,600519_贵州茅台,testing,-2.35,0.0,2.54,2,unknown
25,000858_五粮液,training,2.57,-0.405,2.66,13,unknown
25,000858_五粮液,testing,-0.47,0.0,0.52,2,unknown
25,600036_招商银行,training,-0.03,-7.443,0.43,17,unknown
25,600036_招商银行,testing,-0.06,0.0,0.08,2,unknown
25,000725_京东方,training,0.01,-90.004,0.04,17,unknown
25,000725_京东方,testing,-0.01,0.0,0.02,1,unknown
25,000002_万科A,training,-0.32,-11.607,0.46,17,unknown
25,000002_万科A,testing,-0.07,0.0,0.07,2,unknown
30,600519_贵州茅台,training,16.08,0.311,5.32,14,unknown
30,600519_贵州茅台,testing,-2.62,0.0,2.89,2,unknown
30,000858_五粮液,training,3.67,-0.213,3.08,13,unknown
30,000858_五粮液,testing,-0.54,0.0,0.6,2,unknown
30,600036_招商银行,training,-0.01,-6.546,0.49,17,unknown
30,600036_招商银行,testing,-0.07,0.0,0.1,2,unknown
30,000725_京东方,training,0.01,-74.973,0.05,17,unknown
30,000725_京东方,testing,-0.02,0.0,0.02,1,unknown
30,000002_万科A,training,-0.39,-9.771,0.55,17,unknown
30,000002_万科A,testing,-0.08,0.0,0.09,2,unknown
Risk2Pct,600519_贵州茅台,training,60.69,0.536,11.64,9,unknown
Risk2Pct,600519_贵州茅台,testing,0.0,0.0,0.0,0,unknown
Risk2Pct,000858_五粮液,training,14.1,0.247,7.7,13,unknown
Risk2Pct,000858_五粮液,testing,-0.93,0.0,0.96,2,unknown
Risk2Pct,600036_招商银行,training,0.21,-2.47,1.2,17,unknown
Risk2Pct,600036_招商银行,testing,-0.42,0.0,0.46,2,unknown
Risk2Pct,000725_京东方,training,0.05,-22.364,0.17,17,unknown
Risk2Pct,000725_京东方,testing,-0.06,0.0,0.08,1,unknown
Risk2Pct,000002_万科A,training,-1.23,-3.833,1.66,17,unknown
Risk2Pct,000002_万科A,testing,-0.28,0.0,0.29,2,unknown
